tokenId,name,image_url,json_url,size,creator,maxClaimed,price
1,Default,https://www.arweave.net/5jwQG7vellMKScWpQytvye42alFYbXDALe7Sk29vcGU?ext=png,https://www.arweave.net/Txe-0nE4cIRLSn0IvDot3EVqjWGemXZ5qHcn_obunSw,"[8,8]",eBoy,999999999,0
2,Cali,https://www.arweave.net/kkBm2oRRYpl2frqYmBoWIje-UwSSAsevPJeFOpWCwhE?ext=png,https://www.arweave.net/mddQGZSLv8sHkwq22E1nUNoKgbQ2G5WNNJaASMmF064,"[8,8]",eBoy,999999999,1
3,Checkerscali,https://www.arweave.net/wSwnj4Tg6uRe_6DVBsp1V0FQM0tDb0LONS2LmheYzDM?ext=png,https://www.arweave.net/Q6fjpwACd2bP40lThDL_6MPJcSbZHRE1NGp6m1EuEsA,"[8,8]",eBoy,999999999,1
4,Checkmate,https://www.arweave.net/5LcCwrNgHIwAQ2RUDyWkA8bL3GahrTa_xm01gAyBOnU?ext=png,https://www.arweave.net/sLVvkC5cR7yjk5Pn5zT2rKYSkmb6ilyifaHISFo2g_A,"[8,8]",eBoy,999999999,1
5,Cobbleshindle,https://www.arweave.net/bu1vPHe_5ZCVvnGTr9Pzlc1GJaPwWoDS_t4oZyFFouI?ext=png,https://www.arweave.net/S-koAatvr6-UHzVcsKkM9kVRyzN4Zj7i6wjhkJv8UQY,"[8,8]",eBoy,999999999,1
6,Crossdirt,https://www.arweave.net/7JJKVHKD_zgZhVKCjpJIATBkUFhOqrr59K1iENmZr_8?ext=png,https://www.arweave.net/9_yA2rHx23A8SGrGJRKaUU7zaCB1qVuHB08UpTgP-7M,"[8,8]",eBoy,999999999,1
7,Grid,https://www.arweave.net/kx6xFrxvD2xDQlmuGymvgqbt1zIB_gAsCuLpce53feU?ext=png,https://www.arweave.net/y0DxfGTAMTt2vbFy8_s4_de5Nx5Gbfmo_1Lpj9F76ho,"[8,8]",eBoy,999999999,1
8,Highwaynevada,https://www.arweave.net/VF-U6YJulv2TK7ENG2etnGVYSdGcyCVo5NwbloUcAG0?ext=png,https://www.arweave.net/RYek-ugxSbWTVRk7CbUHQ0-jw13IQzcNZrUC674Vo04,"[8,8]",eBoy,999999999,1
9,Intersection,https://www.arweave.net/4UiWwf1N_KABYLlHEgkNj2PMbCAK_Yv19EEAnTUoO5c?ext=png,https://www.arweave.net/WOxeiZeYPwoa-Y0lm1jhHN_HxXL4Gt0erT1Wctj8Xd8,"[8,8]",eBoy,999999999,1
